Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_38_253,VGND,li1,119.3700,106.0800,0.000000
FILLER_0_38_250,VGND,li1,118.2200,106.0800,0.000000
FILLER_0_38_217,VGND,li1,103.0400,106.0800,0.000000
FILLER_0_38_195,VGND,li1,92.6900,106.0800,0.000000
FILLER_0_38_166,VGND,li1,79.5800,106.0800,0.000000
FILLER_0_38_141,VGND,li1,68.0800,106.0800,0.000000
FILLER_0_38_136,VGND,li1,65.5500,106.0800,0.000000
FILLER_0_38_130,VGND,li1,63.2500,106.0800,0.000000
FILLER_0_38_126,VGND,li1,60.9500,106.0800,0.000000
FILLER_0_38_106,VGND,li1,52.2100,106.0800,0.000000
FILLER_0_38_88,VGND,li1,43.4700,106.0800,0.000000
FILLER_0_38_82,VGND,li1,40.9400,106.0800,0.000000
FILLER_0_38_76,VGND,li1,38.4100,106.0800,0.000000
FILLER_0_38_70,VGND,li1,35.6500,106.0800,0.000000
FILLER_0_38_64,VGND,li1,32.8900,106.0800,0.000000
FILLER_0_38_60,VGND,li1,30.5900,106.0800,0.000000
FILLER_0_38_57,VGND,li1,29.6700,106.0800,0.000000
FILLER_0_38_53,VGND,li1,27.8300,106.0800,0.000000
FILLER_0_38_50,VGND,li1,26.4500,106.0800,0.000000
FILLER_0_38_47,VGND,li1,25.0700,106.0800,0.000000
FILLER_0_38_44,VGND,li1,23.6900,106.0800,0.000000
FILLER_0_38_41,VGND,li1,22.3100,106.0800,0.000000
FILLER_0_38_38,VGND,li1,20.9300,106.0800,0.000000
FILLER_0_38_35,VGND,li1,19.5500,106.0800,0.000000
FILLER_0_38_32,VGND,li1,18.1700,106.0800,0.000000
FILLER_0_38_29,VGND,li1,16.7900,106.0800,0.000000
FILLER_0_38_27,VGND,li1,15.4100,106.0800,0.000000
FILLER_0_38_24,VGND,li1,14.4900,106.0800,0.000000
FILLER_0_38_21,VGND,li1,13.1100,106.0800,0.000000
FILLER_0_38_18,VGND,li1,11.7300,106.0800,0.000000
FILLER_0_38_15,VGND,li1,10.3500,106.0800,0.000000
FILLER_0_38_12,VGND,li1,8.9700,106.0800,0.000000
FILLER_0_38_9,VGND,li1,7.5900,106.0800,0.000000
FILLER_0_38_6,VGND,li1,6.2100,106.0800,0.000000
FILLER_0_38_3,VGND,li1,4.8300,106.0800,0.000000
FILLER_0_37_258,VGND,li1,121.9000,106.0800,0.000000
FILLER_0_37_203,VGND,li1,96.3700,106.0800,0.000000
FILLER_0_37_139,VGND,li1,67.3900,106.0800,0.000000
FILLER_0_37_107,VGND,li1,52.2100,106.0800,0.000000
FILLER_0_37_104,VGND,li1,51.2900,106.0800,0.000000
FILLER_0_37_101,VGND,li1,49.9100,106.0800,0.000000
FILLER_0_37_75,VGND,li1,37.7200,106.0800,0.000000
FILLER_0_37_72,VGND,li1,36.5700,106.0800,0.000000
FILLER_0_37_69,VGND,li1,35.1900,106.0800,0.000000
FILLER_0_37_66,VGND,li1,33.8100,106.0800,0.000000
FILLER_0_37_63,VGND,li1,32.4300,106.0800,0.000000
FILLER_0_37_60,VGND,li1,31.0500,106.0800,0.000000
FILLER_0_37_57,VGND,li1,29.6700,106.0800,0.000000
FILLER_0_37_54,VGND,li1,28.0600,106.0800,0.000000
FILLER_0_37_51,VGND,li1,26.9100,106.0800,0.000000
FILLER_0_37_48,VGND,li1,25.5300,106.0800,0.000000
FILLER_0_37_45,VGND,li1,24.1500,106.0800,0.000000
FILLER_0_37_42,VGND,li1,22.7700,106.0800,0.000000
FILLER_0_37_39,VGND,li1,21.3900,106.0800,0.000000
FILLER_0_37_36,VGND,li1,20.0100,106.0800,0.000000
