Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_38_253,VPWR,li1,119.3700,108.8000,1.800000
FILLER_0_38_250,VPWR,li1,118.2200,108.8000,1.800000
FILLER_0_38_217,VPWR,li1,103.0400,108.8000,1.800000
FILLER_0_38_195,VPWR,li1,92.6900,108.8000,1.800000
FILLER_0_38_166,VPWR,li1,79.5800,108.8000,1.800000
FILLER_0_38_141,VPWR,li1,68.0800,108.8000,1.800000
FILLER_0_38_136,VPWR,li1,65.5500,108.8000,1.800000
FILLER_0_38_130,VPWR,li1,63.2500,108.8000,1.800000
FILLER_0_38_126,VPWR,li1,60.9500,108.8000,1.800000
FILLER_0_38_106,VPWR,li1,52.2100,108.8000,1.800000
FILLER_0_38_88,VPWR,li1,43.4700,108.8000,1.800000
FILLER_0_38_82,VPWR,li1,40.9400,108.8000,1.800000
FILLER_0_38_76,VPWR,li1,38.4100,108.8000,1.800000
FILLER_0_38_70,VPWR,li1,35.6500,108.8000,1.800000
FILLER_0_38_64,VPWR,li1,32.8900,108.8000,1.800000
FILLER_0_38_60,VPWR,li1,30.5900,108.8000,1.800000
FILLER_0_38_57,VPWR,li1,29.6700,108.8000,1.800000
FILLER_0_38_53,VPWR,li1,27.8300,108.8000,1.800000
FILLER_0_38_50,VPWR,li1,26.4500,108.8000,1.800000
FILLER_0_38_47,VPWR,li1,25.0700,108.8000,1.800000
FILLER_0_38_44,VPWR,li1,23.6900,108.8000,1.800000
FILLER_0_38_41,VPWR,li1,22.3100,108.8000,1.800000
FILLER_0_38_38,VPWR,li1,20.9300,108.8000,1.800000
FILLER_0_38_35,VPWR,li1,19.5500,108.8000,1.800000
FILLER_0_38_32,VPWR,li1,18.1700,108.8000,1.800000
FILLER_0_38_29,VPWR,li1,16.7900,108.8000,1.800000
FILLER_0_38_27,VPWR,li1,15.4100,108.8000,1.800000
FILLER_0_38_24,VPWR,li1,14.4900,108.8000,1.800000
FILLER_0_38_21,VPWR,li1,13.1100,108.8000,1.800000
FILLER_0_38_18,VPWR,li1,11.7300,108.8000,1.800000
FILLER_0_38_15,VPWR,li1,10.3500,108.8000,1.800000
FILLER_0_38_12,VPWR,li1,8.9700,108.8000,1.800000
FILLER_0_38_9,VPWR,li1,7.5900,108.8000,1.800000
FILLER_0_38_6,VPWR,li1,6.2100,108.8000,1.800000
FILLER_0_38_3,VPWR,li1,4.8300,108.8000,1.800000
FILLER_0_37_258,VPWR,li1,121.9000,103.3600,1.800000
FILLER_0_37_203,VPWR,li1,96.3700,103.3600,1.800000
FILLER_0_37_139,VPWR,li1,67.3900,103.3600,1.800000
FILLER_0_37_107,VPWR,li1,52.2100,103.3600,1.800000
FILLER_0_37_104,VPWR,li1,51.2900,103.3600,1.800000
FILLER_0_37_101,VPWR,li1,49.9100,103.3600,1.800000
FILLER_0_37_75,VPWR,li1,37.7200,103.3600,1.800000
FILLER_0_37_72,VPWR,li1,36.5700,103.3600,1.800000
FILLER_0_37_69,VPWR,li1,35.1900,103.3600,1.800000
FILLER_0_37_66,VPWR,li1,33.8100,103.3600,1.800000
FILLER_0_37_63,VPWR,li1,32.4300,103.3600,1.800000
FILLER_0_37_60,VPWR,li1,31.0500,103.3600,1.800000
FILLER_0_37_57,VPWR,li1,29.6700,103.3600,1.800000
FILLER_0_37_54,VPWR,li1,28.0600,103.3600,1.800000
FILLER_0_37_51,VPWR,li1,26.9100,103.3600,1.800000
FILLER_0_37_48,VPWR,li1,25.5300,103.3600,1.800000
FILLER_0_37_45,VPWR,li1,24.1500,103.3600,1.800000
FILLER_0_37_42,VPWR,li1,22.7700,103.3600,1.800000
FILLER_0_37_39,VPWR,li1,21.3900,103.3600,1.800000
FILLER_0_37_36,VPWR,li1,20.0100,103.3600,1.800000
FILLER_0_37_33,VPWR,li1,18.6300,103.3600,1.800000
FILLER_0_37_30,VPWR,li1,17.2500,103.3600,1.800000
FILLER_0_37_27,VPWR,li1,15.8700,103.3600,1.800000
FILLER_0_37_24,VPWR,li1,14.4900,103.3600,1.800000
FILLER_0_37_21,VPWR,li1,13.1100,103.3600,1.800000
FILLER_0_37_18,VPWR,li1,11.7300,103.3600,1.800000
FILLER_0_37_15,VPWR,li1,10.3500,103.3600,1.800000
FILLER_0_37_12,VPWR,li1,8.9700,103.3600,1.800000
FILLER_0_37_9,VPWR,li1,7.5900,103.3600,1.800000
FILLER_0_37_6,VPWR,li1,6.2100,103.3600,1.800000
FILLER_0_37_3,VPWR,li1,4.8300,103.3600,1.800000
FILLER_0_36_250,VPWR,li1,118.2200,103.3600,1.800000
FILLER_0_36_212,VPWR,li1,100.7400,103.3600,1.800000
FILLER_0_36_141,VPWR,li1,67.8500,103.3600,1.800000
FILLER_0_36_110,VPWR,li1,53.5900,103.3600,1.800000
FILLER_0_36_103,VPWR,li1,50.3700,103.3600,1.800000
FILLER_0_36_88,VPWR,li1,43.9300,103.3600,1.800000
FILLER_0_36_85,VPWR,li1,42.5500,103.3600,1.800000
FILLER_0_36_77,VPWR,li1,38.8700,103.3600,1.800000
FILLER_0_36_74,VPWR,li1,37.4900,103.3600,1.800000
FILLER_0_36_71,VPWR,li1,36.1100,103.3600,1.800000
FILLER_0_36_68,VPWR,li1,34.7300,103.3600,1.800000
FILLER_0_36_65,VPWR,li1,33.3500,103.3600,1.800000
FILLER_0_36_62,VPWR,li1,31.9700,103.3600,1.800000
FILLER_0_36_59,VPWR,li1,30.5900,103.3600,1.800000
FILLER_0_36_56,VPWR,li1,29.2100,103.3600,1.800000
FILLER_0_36_53,VPWR,li1,27.8300,103.3600,1.800000
FILLER_0_36_50,VPWR,li1,26.4500,103.3600,1.800000
FILLER_0_36_47,VPWR,li1,25.0700,103.3600,1.800000
FILLER_0_36_44,VPWR,li1,23.6900,103.3600,1.800000
FILLER_0_36_41,VPWR,li1,22.3100,103.3600,1.800000
FILLER_0_36_38,VPWR,li1,20.9300,103.3600,1.800000
FILLER_0_36_35,VPWR,li1,19.5500,103.3600,1.800000
FILLER_0_36_32,VPWR,li1,18.1700,103.3600,1.800000
FILLER_0_36_29,VPWR,li1,16.7900,103.3600,1.800000
FILLER_0_36_27,VPWR,li1,15.4100,103.3600,1.800000
FILLER_0_36_24,VPWR,li1,14.4900,103.3600,1.800000
FILLER_0_36_21,VPWR,li1,13.1100,103.3600,1.800000
FILLER_0_36_18,VPWR,li1,11.7300,103.3600,1.800000
FILLER_0_36_15,VPWR,li1,10.3500,103.3600,1.800000
FILLER_0_36_12,VPWR,li1,8.9700,103.3600,1.800000
FILLER_0_36_9,VPWR,li1,7.5900,103.3600,1.800000
FILLER_0_36_6,VPWR,li1,6.2100,103.3600,1.800000
FILLER_0_36_3,VPWR,li1,4.8300,103.3600,1.800000
FILLER_0_35_278,VPWR,li1,131.1000,97.9200,1.800000
FILLER_0_35_176,VPWR,li1,84.4100,97.9200,1.800000
FILLER_0_35_161,VPWR,li1,77.2800,97.9200,1.800000
FILLER_0_35_158,VPWR,li1,76.1300,97.9200,1.800000
FILLER_0_35_152,VPWR,li1,73.3700,97.9200,1.800000
FILLER_0_35_136,VPWR,li1,65.7800,97.9200,1.800000
FILLER_0_35_122,VPWR,li1,59.3400,97.9200,1.800000
FILLER_0_35_116,VPWR,li1,56.3500,97.9200,1.800000
FILLER_0_35_113,VPWR,li1,55.4300,97.9200,1.800000
FILLER_0_35_69,VPWR,li1,35.1900,97.9200,1.800000
FILLER_0_35_66,VPWR,li1,33.8100,97.9200,1.800000
FILLER_0_35_63,VPWR,li1,32.4300,97.9200,1.800000
FILLER_0_35_60,VPWR,li1,31.0500,97.9200,1.800000
FILLER_0_35_57,VPWR,li1,29.6700,97.9200,1.800000
FILLER_0_35_54,VPWR,li1,28.0600,97.9200,1.800000
FILLER_0_35_51,VPWR,li1,26.9100,97.9200,1.800000
FILLER_0_35_48,VPWR,li1,25.5300,97.9200,1.800000
FILLER_0_35_45,VPWR,li1,24.1500,97.9200,1.800000
FILLER_0_35_42,VPWR,li1,22.7700,97.9200,1.800000
FILLER_0_35_39,VPWR,li1,21.3900,97.9200,1.800000
FILLER_0_35_36,VPWR,li1,20.0100,97.9200,1.800000
FILLER_0_35_33,VPWR,li1,18.6300,97.9200,1.800000
FILLER_0_35_30,VPWR,li1,17.2500,97.9200,1.800000
FILLER_0_35_27,VPWR,li1,15.8700,97.9200,1.800000
FILLER_0_35_24,VPWR,li1,14.4900,97.9200,1.800000
FILLER_0_35_21,VPWR,li1,13.1100,97.9200,1.800000
FILLER_0_35_18,VPWR,li1,11.7300,97.9200,1.800000
FILLER_0_35_15,VPWR,li1,10.3500,97.9200,1.800000
FILLER_0_35_12,VPWR,li1,8.9700,97.9200,1.800000
FILLER_0_35_9,VPWR,li1,7.5900,97.9200,1.800000
FILLER_0_35_6,VPWR,li1,6.2100,97.9200,1.800000
FILLER_0_35_3,VPWR,li1,4.8300,97.9200,1.800000
FILLER_0_34_334,VPWR,li1,156.6300,97.9200,1.800000
FILLER_0_34_286,VPWR,li1,134.5500,97.9200,1.800000
FILLER_0_34_195,VPWR,li1,92.6900,97.9200,1.800000
FILLER_0_34_192,VPWR,li1,91.7700,97.9200,1.800000
FILLER_0_34_179,VPWR,li1,85.3300,97.9200,1.800000
FILLER_0_34_176,VPWR,li1,84.4100,97.9200,1.800000
FILLER_0_34_170,VPWR,li1,81.1900,97.9200,1.800000
FILLER_0_34_167,VPWR,li1,80.2700,97.9200,1.800000
FILLER_0_34_164,VPWR,li1,78.8900,97.9200,1.800000
FILLER_0_34_161,VPWR,li1,77.5100,97.9200,1.800000
FILLER_0_34_158,VPWR,li1,76.1300,97.9200,1.800000
FILLER_0_34_155,VPWR,li1,74.7500,97.9200,1.800000
FILLER_0_34_152,VPWR,li1,73.3700,97.9200,1.800000
FILLER_0_34_149,VPWR,li1,71.9900,97.9200,1.800000
FILLER_0_34_133,VPWR,li1,64.6300,97.9200,1.800000
FILLER_0_34_130,VPWR,li1,63.2500,97.9200,1.800000
FILLER_0_34_121,VPWR,li1,59.1100,97.9200,1.800000
FILLER_0_34_118,VPWR,li1,57.7300,97.9200,1.800000
FILLER_0_34_115,VPWR,li1,56.3500,97.9200,1.800000
FILLER_0_34_112,VPWR,li1,54.9700,97.9200,1.800000
FILLER_0_34_109,VPWR,li1,53.5900,97.9200,1.800000
FILLER_0_34_106,VPWR,li1,52.2100,97.9200,1.800000
FILLER_0_34_103,VPWR,li1,50.8300,97.9200,1.800000
FILLER_0_34_100,VPWR,li1,49.4500,97.9200,1.800000
FILLER_0_34_97,VPWR,li1,48.0700,97.9200,1.800000
FILLER_0_34_94,VPWR,li1,46.6900,97.9200,1.800000
FILLER_0_34_91,VPWR,li1,45.3100,97.9200,1.800000
FILLER_0_34_83,VPWR,li1,41.1700,97.9200,1.800000
FILLER_0_34_80,VPWR,li1,40.2500,97.9200,1.800000
FILLER_0_34_77,VPWR,li1,38.8700,97.9200,1.800000
FILLER_0_34_74,VPWR,li1,37.4900,97.9200,1.800000
FILLER_0_34_71,VPWR,li1,36.1100,97.9200,1.800000
FILLER_0_34_68,VPWR,li1,34.7300,97.9200,1.800000
FILLER_0_34_65,VPWR,li1,33.3500,97.9200,1.800000
FILLER_0_34_59,VPWR,li1,30.5900,97.9200,1.800000
FILLER_0_34_56,VPWR,li1,29.2100,97.9200,1.800000
FILLER_0_34_53,VPWR,li1,27.8300,97.9200,1.800000
FILLER_0_34_50,VPWR,li1,26.4500,97.9200,1.800000
FILLER_0_34_47,VPWR,li1,25.0700,97.9200,1.800000
FILLER_0_34_44,VPWR,li1,23.6900,97.9200,1.800000
FILLER_0_34_41,VPWR,li1,22.3100,97.9200,1.800000
FILLER_0_34_38,VPWR,li1,20.9300,97.9200,1.800000
FILLER_0_34_35,VPWR,li1,19.5500,97.9200,1.800000
FILLER_0_34_32,VPWR,li1,18.1700,97.9200,1.800000
FILLER_0_34_29,VPWR,li1,16.7900,97.9200,1.800000
FILLER_0_34_27,VPWR,li1,15.4100,97.9200,1.800000
FILLER_0_34_24,VPWR,li1,14.4900,97.9200,1.800000
FILLER_0_34_21,VPWR,li1,13.1100,97.9200,1.800000
FILLER_0_34_18,VPWR,li1,11.7300,97.9200,1.800000
FILLER_0_34_15,VPWR,li1,10.3500,97.9200,1.800000
FILLER_0_34_12,VPWR,li1,8.9700,97.9200,1.800000
FILLER_0_34_9,VPWR,li1,7.5900,97.9200,1.800000
FILLER_0_34_6,VPWR,li1,6.2100,97.9200,1.800000
FILLER_0_34_3,VPWR,li1,4.8300,97.9200,1.800000
FILLER_0_33_279,VPWR,li1,131.3300,92.4800,1.800000
FILLER_0_33_243,VPWR,li1,114.7700,92.4800,1.800000
FILLER_0_33_225,VPWR,li1,106.9500,92.4800,1.800000
FILLER_0_33_197,VPWR,li1,93.8400,92.4800,1.800000
FILLER_0_33_158,VPWR,li1,75.6700,92.4800,1.800000
FILLER_0_33_155,VPWR,li1,74.7500,92.4800,1.800000
FILLER_0_33_152,VPWR,li1,73.3700,92.4800,1.800000
FILLER_0_33_149,VPWR,li1,71.9900,92.4800,1.800000
FILLER_0_33_146,VPWR,li1,70.6100,92.4800,1.800000
FILLER_0_33_143,VPWR,li1,69.2300,92.4800,1.800000
FILLER_0_33_140,VPWR,li1,67.8500,92.4800,1.800000
FILLER_0_33_134,VPWR,li1,64.8600,92.4800,1.800000
FILLER_0_33_125,VPWR,li1,60.4900,92.4800,1.800000
FILLER_0_33_122,VPWR,li1,59.5700,92.4800,1.800000
FILLER_0_33_116,VPWR,li1,56.3500,92.4800,1.800000
FILLER_0_33_113,VPWR,li1,55.4300,92.4800,1.800000
FILLER_0_33_109,VPWR,li1,53.5900,92.4800,1.800000
FILLER_0_33_99,VPWR,li1,48.7600,92.4800,1.800000
FILLER_0_33_96,VPWR,li1,47.6100,92.4800,1.800000
FILLER_0_33_81,VPWR,li1,40.4800,92.4800,1.800000
FILLER_0_33_78,VPWR,li1,39.3300,92.4800,1.800000
FILLER_0_33_62,VPWR,li1,31.7400,92.4800,1.800000
FILLER_0_33_55,VPWR,li1,28.2900,92.4800,1.800000
FILLER_0_33_52,VPWR,li1,27.3700,92.4800,1.800000
FILLER_0_33_46,VPWR,li1,24.6100,92.4800,1.800000
FILLER_0_33_43,VPWR,li1,23.2300,92.4800,1.800000
FILLER_0_33_39,VPWR,li1,20.9300,92.4800,1.800000
FILLER_0_33_27,VPWR,li1,15.4100,92.4800,1.800000
FILLER_0_33_24,VPWR,li1,14.4900,92.4800,1.800000
FILLER_0_33_21,VPWR,li1,13.1100,92.4800,1.800000
