Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,1212
design__instance__area,8431.84
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.000003578339146770304
power__switching__total,0.000006554769242939074
power__leakage__total,1.4918022372967243E-8
power__total,0.000010148026376555208
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0017303936551196436
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0017303936551196436
timing__hold__ws__corner:nom_tt_025C_1v80,0.35239667736884683
timing__setup__ws__corner:nom_tt_025C_1v80,1997.9352711092538
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,114
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.0022095659260997786
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.0022095659260997786
timing__hold__ws__corner:nom_ss_100C_1v60,0.9405099187882937
timing__setup__ws__corner:nom_ss_100C_1v60,1996.0457958128825
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.0016064372509145184
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.0016064372509145184
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1332465842044791
timing__setup__ws__corner:nom_ff_n40C_1v95,1998.6380831599258
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,147
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0029885539333593053
clock__skew__worst_setup,0.0012033152592720556
timing__hold__ws,0.12823120706004165
timing__setup__ws,1995.9339279614007
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1212
design__instance__area__stdcell,8431.84
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.511227
design__instance__utilization__stdcell,0.511227
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,37255.5
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,14
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
route__net,1003
route__net__special,2
route__drc_errors__iter:1,2096
route__wirelength__iter:1,49440
route__drc_errors__iter:2,1333
route__wirelength__iter:2,48765
route__drc_errors__iter:3,1126
route__wirelength__iter:3,48335
route__drc_errors__iter:4,649
route__wirelength__iter:4,48368
route__drc_errors__iter:5,243
route__wirelength__iter:5,48335
route__drc_errors__iter:6,160
route__wirelength__iter:6,48409
route__drc_errors__iter:7,47
route__wirelength__iter:7,48403
route__drc_errors__iter:8,32
route__wirelength__iter:8,48398
route__drc_errors__iter:9,32
route__wirelength__iter:9,48398
route__drc_errors__iter:10,28
route__wirelength__iter:10,48373
route__drc_errors__iter:11,24
route__wirelength__iter:11,48372
route__drc_errors__iter:12,24
route__wirelength__iter:12,48372
route__drc_errors__iter:13,15
route__wirelength__iter:13,48402
route__drc_errors__iter:14,0
route__wirelength__iter:14,48397
route__drc_errors,0
route__wirelength,48397
route__vias,10087
route__vias__singlecut,10087
route__vias__multicut,0
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,357.315
timing__unannotated_net__count__corner:nom_tt_025C_1v80,42
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,42
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,42
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.0012839452087158284
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.0012839452087158284
timing__hold__ws__corner:min_tt_025C_1v80,0.34438364246199066
timing__setup__ws__corner:min_tt_025C_1v80,1998.008712808499
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
